Age,Income,LoanAmount,CreditScore,Approved
25,16395,3600,646,1
22,16890,4750,645,1
25,51747,25000,697,1
21,59864,25000,648,1
25,270972,25000,640,0
26,270870,3000,681,0
23,270729,7500,646,0
26,270877,25000,615,0
22,60501,25000,687,1
23,60754,25000,650,1
25,60829,25000,588,1
24,53825,25000,652,1
23,60801,25000,658,1
22,60747,25000,634,1
22,61029,25000,623,1
22,63236,25000,635,1
23,17149,4950,531,1
24,265066,25000,665,0
23,260205,21000,703,0
25,260035,25000,585,0
26,260444,20000,594,0
23,258980,35000,618,0
26,259081,12000,626,0
23,63497,25000,695,1
26,56325,25000,690,1
22,64842,25000,574,1
26,57856,25000,602,1
23,57318,25000,679,1
23,16916,1400,615,0
21,16664,4500,601,1
22,252803,16000,577,0
26,253061,22000,588,0
26,58602,25000,595,1
22,67012,25000,653,1
24,66643,25000,663,1
23,66599,25000,653,1
23,67212,25000,598,1
24,66918,25000,630,1
26,68066,25000,637,1
24,245545,20000,660,0
23,229083,22000,639,1
23,17859,7750,626,1
24,72608,25000,612,1
24,73073,25000,628,1
26,65880,25000,592,1
23,17755,4000,580,1
24,241180,12000,634,0
24,240894,12000,678,0
21,240980,16000,557,0
25,65742,25000,672,1
23,72713,25000,613,1
23,72627,25000,566,1
21,72843,25000,718,1
25,75504,25000,484,1
22,68824,25000,634,1
23,241167,28000,653,0
21,241060,25000,699,0
24,240855,24000,656,0
26,241030,15000,626,0
25,240895,15500,659,0
24,240932,10000,604,0
24,80145,25000,636,1
22,80303,25000,554,1
22,241048,9000,587,0
144,241424,6000,807,0
25,241005,18000,708,0
25,240768,12000,669,0
25,241201,23050,578,0
24,240920,20000,615,0
24,72919,25000,553,1
21,18008,3000,635,1
26,81238,25000,531,1
23,80868,25000,621,1
24,81537,25000,674,1
24,82741,25000,688,1
25,83901,25000,597,1
25,240717,12000,640,0
26,226744,20000,621,1
26,241114,3000,608,0
25,85284,25000,653,1
22,18152,4000,585,1
24,84871,25000,569,1
24,18294,6000,587,1
24,68029,25000,631,1
25,80001,25000,592,1
26,79875,25000,679,1
25,18449,5375,645,1
25,88153,25000,669,1
23,90109,25000,653,1
25,90938,25000,577,1
24,231335,22000,668,0
21,231829,20000,629,0
25,230516,10000,643,0
26,229626,15000,626,0
22,228907,10000,560,0
24,90938,25000,648,1
22,86284,25000,648,1
26,228774,20000,669,0
23,229027,24000,536,0
23,94789,25000,548,1
23,94780,25000,667,1
23,95298,25000,676,1
25,223944,10000,570,0
24,222629,35000,623,0
25,222973,15000,652,0
24,75240,25000,625,1
23,96143,25000,642,1
21,18064,6250,580,1
24,96627,25000,622,1
24,96309,25000,581,1
21,18421,1500,623,0
24,96836,25000,583,1
26,96947,25000,645,1
22,222975,25000,593,0
26,222985,5000,659,0
24,223064,22000,655,0
23,221559,2500,583,0
24,207712,20000,582,1
24,220872,20000,504,0
22,220518,1000,551,0
25,220510,15000,529,0
23,89818,25000,674,1
26,90006,25000,595,1
25,98704,25000,597,1
23,98967,25000,566,1
24,99435,25000,666,0
24,100658,25000,695,0
24,100435,25000,576,0
24,216925,18000,651,0
23,216891,28000,633,0
23,18512,4000,566,1
22,18367,2100,583,0
22,102317,25000,586,0
24,103400,25000,592,0
24,217134,14000,598,0
26,217024,12000,637,0
25,172215,10000,628,1
23,18831,6000,667,1
24,105349,25000,621,0
24,91184,25000,668,1
23,91886,25000,544,1
23,80452,25000,699,1
25,108758,25000,611,0
21,18916,6200,615,1
26,217234,25000,559,0
24,217017,21000,577,0
25,216874,20000,657,0
26,216833,10000,676,0
25,216483,9950,601,0
23,19000,4475,647,1
23,94363,25000,576,1
25,80570,25000,612,1
23,109167,25000,678,0
24,95753,25000,542,1
24,110935,25000,709,0
25,111490,25000,622,0
24,111729,25000,642,0
23,113396,25000,660,0
23,19175,1750,587,0
23,85787,25000,646,1
25,102114,25000,637,1
26,211005,2600,718,0
25,210903,8000,588,0
22,210555,18000,652,0
23,210937,21000,620,0
23,19062,4000,667,1
23,18926,4600,688,1
22,106694,25000,667,1
25,90718,25000,692,1
25,106668,25000,562,1
25,19158,1750,625,0
26,106419,25000,649,1
25,120696,25000,545,0
23,19065,3600,540,1
24,124083,25000,637,0
24,111673,25000,600,1
23,112633,25000,633,1
22,210938,3500,588,0
23,210720,7200,624,0
25,210705,9000,525,0
25,209997,8800,616,0
26,209873,12000,675,0
25,195268,25000,662,1
26,209393,10000,585,0
21,18773,3175,686,1
25,116439,25000,595,1
21,19169,1500,537,0
24,118417,25000,625,1
26,133476,25000,641,0
23,19312,2800,661,1
25,192351,30000,577,1
24,206648,18000,537,0
25,205046,10000,646,0
24,190735,25000,653,1
26,204872,13000,654,0
24,100758,25000,635,1
24,133231,25000,675,0
22,18923,2500,618,1
25,161894,5000,609,1
25,205144,20000,545,0
22,121617,25000,629,1
25,136206,25000,539,0
24,144915,25000,593,0
25,145233,25000,683,0
23,145002,25000,670,0
24,110953,25000,662,1
21,19414,1000,681,0
26,130096,25000,636,1
26,157292,25000,677,0
23,156995,25000,656,0
23,156952,25000,674,0
25,205005,20000,587,0
26,205060,12000,658,0
22,203782,14000,581,0
26,203368,24250,606,0
23,203403,20000,648,0
24,202715,1800,563,0
25,202525,35000,589,0
24,161487,25000,641,0
24,19677,3300,637,1
24,161952,25000,578,0
25,161560,25000,660,0
25,19423,3200,586,1
25,163134,25000,567,0
26,163683,25000,582,0
25,174972,25000,712,0
23,181016,25000,674,0
23,198920,9600,532,0
22,184800,24000,670,1
24,198862,20000,658,0
25,199407,25000,669,0
21,198803,20000,681,0
23,20044,6000,618,1
23,20401,2275,573,0
23,19859,2000,491,0
23,178660,25000,590,1
23,20421,5600,587,1
24,20353,3625,648,1
22,20297,5500,687,1
25,210932,25000,621,0
22,20405,2000,590,0
24,223194,25000,676,0
25,195560,25000,677,0
26,194140,30000,651,0
22,193337,35000,602,0
25,270992,25000,652,0
25,20221,5000,572,1
23,20678,4375,528,1
25,60742,24750,638,1
23,72805,24750,655,1
24,102011,24500,627,0
22,20896,2000,596,0
24,111283,24500,694,0
23,192873,35000,684,0
24,193174,12000,547,0
25,193249,12000,586,0
26,192954,25000,694,0
25,152227,10000,639,1
25,65399,24250,663,1
23,75928,24250,528,1
24,21627,3900,636,1
25,83235,24250,603,1
26,68297,24250,507,1
22,89977,24250,692,1
24,79510,24250,604,1
24,109050,24250,622,0
26,94635,24250,643,1
23,120966,24250,565,0
23,124437,24250,718,0
25,193147,9000,625,0
25,192914,15000,614,0
24,192806,20000,690,0
23,193097,25000,564,0
26,193082,13750,579,0
21,192841,15250,648,0
25,193300,20000,531,0
22,21205,4750,658,1
25,135292,24250,574,0
21,21363,6000,671,1
25,139035,24250,633,0
23,173511,24250,631,0
23,345520,24250,652,0
22,130762,24150,683,1
22,52596,24000,693,1
23,57326,24000,603,1
24,58262,24000,522,1
26,58620,24000,664,1
21,55113,24000,645,1
25,63361,24000,592,1
22,22107,2250,636,0
24,57356,24000,672,1
22,21790,1000,686,0
22,59680,24000,590,1
26,72720,24000,636,1
25,73024,24000,580,1
22,73110,24000,674,1
21,72902,24000,601,1
26,75416,24000,620,1
22,75959,24000,642,1
26,79222,24000,616,1
22,21824,4975,588,1
23,71875,24000,585,1
23,80313,24000,632,1
24,72647,24000,556,1
25,80492,24000,602,1
22,75646,24000,639,1
24,85223,24000,603,1
23,89735,24000,689,1
22,22364,3000,672,1
22,90780,24000,499,1
24,90889,24000,643,1
24,90911,24000,589,1
26,83953,24000,646,1
23,94644,24000,613,1
22,22616,2000,567,0
24,96989,24000,603,0
22,22867,3500,647,1
23,22583,4000,645,1
23,90900,24000,672,1
26,107641,24000,648,0
25,114870,24000,653,0
22,100479,24000,590,1
25,114958,24000,704,0
21,22882,4900,674,1
21,22392,5000,594,1
26,120498,24000,626,0
24,132873,24000,701,0
24,22635,6250,602,1
22,118299,24000,503,1
26,125665,24000,657,1
22,144904,24000,638,0
24,144882,24000,646,0
26,130649,24000,678,1
24,149622,24000,684,0
23,22957,2500,594,1
24,157225,24000,538,0
25,163004,24000,662,0
24,163035,24000,636,0
23,138731,24000,613,1
23,180804,24000,573,0
23,166378,24000,714,1
24,22684,13000,640,1
21,22366,6250,637,1
26,187161,24000,633,0
26,178439,24000,615,1
26,204962,24000,552,0
21,22673,2500,670,0
24,53633,23975,678,1
23,144983,23750,676,0
24,67032,23600,624,1
24,22664,10000,649,1
25,123299,23600,555,0
23,91275,23575,613,1
22,22564,4000,684,1
22,22786,5400,647,1
25,22450,4000,580,1
21,22666,3375,630,1
22,81701,23400,589,1
22,52984,23000,621,1
25,68579,23000,665,1
23,73014,23000,668,1
24,22608,1200,615,0
25,76932,23000,604,1
24,78955,23000,620,1
23,82567,23000,558,1
22,22466,3000,603,1
25,97251,23000,683,0
24,106607,23000,641,1
22,71385,22750,521,1
23,84865,22500,655,1
24,22789,3000,663,1
26,84801,22500,605,1
24,88421,22400,708,1
24,23071,5000,571,1
23,43042,22250,678,1
25,53119,22000,597,1
25,63311,22000,689,1
21,23597,4200,675,1
22,69308,22000,591,1
25,70598,22000,616,1
23,73044,22000,640,1
24,73043,22000,593,1
25,23627,3000,649,1
26,68198,22000,645,1
22,85089,22000,537,1
22,80358,22000,635,1
23,90025,22000,640,0
24,93232,22000,625,0
22,23497,3625,557,1
26,93314,22000,643,0
21,23543,6000,631,1
24,97038,22000,653,0
26,100246,22000,623,0
24,23667,7400,662,1
25,23719,4000,667,1
23,101575,22000,586,0
25,94168,22000,719,1
25,99394,22000,646,1
21,23504,3500,646,1
23,120500,22000,646,0
23,133195,22000,643,0
22,24148,4950,594,1
25,69353,21700,664,1
24,65946,21600,605,1
23,68677,21600,646,1
26,76687,21600,655,1
22,99087,21600,597,0
22,94523,21600,679,1
22,24092,2400,654,0
24,135365,21600,556,0
24,24420,7000,694,1
25,23948,3000,587,1
24,71718,21500,620,1
24,84999,21500,701,1
24,140396,21500,572,0
25,73404,21450,671,1
22,38473,21250,599,1
25,57546,21250,610,1
25,62422,21250,588,1
22,23993,5000,691,1
22,64732,21250,645,1
26,23955,9250,618,1
24,68154,21250,672,1
24,79138,21250,650,1
21,42536,21000,687,1
22,23888,1400,535,1
23,24013,3000,604,1
26,48929,21000,601,1
25,24121,1000,612,0
26,51379,21000,666,1
23,76364,21000,645,1
26,24297,4000,678,1
22,71599,21000,644,1
22,85496,21000,614,0
26,79163,21000,627,1
22,90944,21000,523,0
22,23973,5000,571,1
25,75181,21000,546,1
24,95767,21000,640,0
23,96788,21000,648,0
24,101708,21000,593,0
26,103023,21000,658,0
22,113027,21000,701,0
26,98366,21000,702,1
26,117668,21000,711,0
26,117297,21000,570,0
25,120885,21000,637,1
26,24183,7500,621,1
21,23664,6250,637,1
26,150692,21000,534,0
25,151100,21000,577,0
23,99197,20900,638,0
21,24468,15000,548,1
26,61015,20500,676,1
23,84845,20500,641,0
22,24872,2100,630,0
123,97140,20400,805,0
23,65613,20375,518,1
26,32325,20050,652,1
24,40881,20000,600,1
23,24766,5000,649,0
22,24995,9250,576,0
24,43287,20000,600,1
25,46375,20000,654,1
23,39416,20000,593,1
25,46636,20000,614,1
23,25168,6400,638,0
25,47473,20000,633,1
23,40632,20000,649,1
25,41468,20000,591,1
24,48897,20000,656,1
21,44226,20000,637,1
26,25012,4800,682,0
25,51210,20000,645,1
22,51305,20000,602,1
25,25295,5650,637,0
23,24930,3625,662,0
22,45716,20000,447,1
25,46683,20000,636,1
22,54870,20000,631,1
23,55291,20000,632,1
24,54919,20000,670,1
23,25141,1200,700,0
22,54899,20000,650,1
24,47903,20000,665,1
24,56744,20000,582,1
22,58440,20000,656,1
22,51628,20000,635,1
22,58859,20000,672,1
22,24521,7500,612,0
23,60235,20000,615,1
25,25654,4000,725,0
25,61114,20000,639,1
25,60990,20000,691,1
22,61072,20000,681,1
22,25229,5000,604,0
22,53980,20000,688,1
24,61918,20000,672,1
25,62299,20000,680,1
24,62192,20000,640,1
22,62045,20000,629,1
22,62350,20000,677,1
24,62508,20000,571,1
25,63607,20000,647,1
25,63921,20000,568,1
22,56273,20000,700,1
26,24569,1500,570,0
24,63481,20000,633,1
25,56451,20000,646,1
24,63897,20000,614,1
22,57193,20000,532,1
22,65874,20000,617,1
23,58705,20000,603,1
23,58236,20000,588,1
23,65738,20000,668,1
24,59765,20000,643,1
26,67019,20000,639,1
24,67265,20000,525,1
25,66906,20000,666,1
26,59603,20000,642,1
25,67174,20000,646,1
22,24993,16600,634,0
23,66844,20000,655,1
25,67482,20000,682,1
23,24853,7125,631,0
23,69387,20000,600,1
22,62379,20000,641,1
23,24853,2500,524,0
26,24751,3600,669,0
22,70529,20000,593,1
23,71255,20000,654,1
26,71761,20000,665,1
26,64550,20000,649,1
23,72969,20000,579,1
24,66060,20000,671,1
21,25666,3550,693,0
26,25229,7000,626,0
24,72762,20000,677,1
24,25451,7750,594,0
25,65742,20000,592,1
24,73352,20000,583,1
23,65733,20000,592,1
23,65802,20000,628,1
22,72562,20000,567,1
25,73028,20000,654,1
22,25537,6000,623,0
24,25526,5500,661,0
25,73266,20000,658,1
25,65555,20000,667,1
24,65678,20000,602,1
23,73286,20000,687,1
21,25416,1275,626,0
25,65967,20000,662,1
24,73202,20000,536,1
21,25710,2400,623,0
24,73058,20000,647,1
26,72650,20000,606,1
23,66301,20000,645,1
24,66951,20000,632,1
24,73899,20000,634,1
22,25644,3800,645,0
25,75578,20000,574,1
24,68349,20000,576,1
21,68120,20000,664,1
24,75484,20000,562,1
25,75802,20000,637,1
25,76733,20000,656,1
26,70484,20000,590,1
23,78886,20000,653,1
24,25992,5000,612,0
23,79348,20000,703,1
23,78597,20000,596,1
24,26216,10000,586,0
25,26133,5375,650,0
26,71856,20000,610,1
23,72259,20000,650,1
21,25869,3500,579,1
26,79098,20000,534,1
25,71754,20000,540,1
23,71688,20000,584,1
23,79539,20000,584,1
22,81282,20000,639,0
23,81580,20000,607,0
24,81639,20000,681,0
26,82432,20000,710,0
25,82737,20000,634,0
24,75890,20000,595,1
23,84428,20000,707,0
25,85061,20000,627,0
22,84791,20000,592,0
25,77982,20000,699,1
25,86325,20000,566,0
22,26244,3000,667,0
23,86183,20000,638,0
23,67625,20000,620,1
24,87261,20000,667,0
24,25826,6000,655,0
23,80180,20000,666,1
22,80179,20000,655,1
24,87458,20000,604,0
24,89922,20000,672,0
22,26137,1625,596,1
25,91179,20000,658,0
21,26112,4500,608,1
25,26559,8500,686,0
24,91001,20000,687,0
26,90978,20000,652,0
26,90805,20000,603,0
25,91130,20000,622,0
22,83759,20000,660,1
22,91033,20000,572,0
21,26887,7575,641,0
26,26792,5200,674,0
24,83573,20000,693,1
23,91541,20000,628,0
23,72279,20000,688,1
23,92304,20000,635,0
26,85207,20000,662,1
24,85232,20000,652,1
22,93127,20000,619,0
26,86320,20000,655,1
21,26946,7125,653,0
22,26711,4025,565,0
24,26769,8000,613,0
26,94812,20000,663,0
22,27119,4000,540,0
26,27046,4200,598,0
22,26902,1400,653,0
123,94723,20000,714,0
23,74473,20000,460,1
21,27072,3800,643,0
24,87447,20000,632,1
23,94310,20000,578,0
23,95354,20000,642,0
23,96236,20000,688,0
23,96969,20000,696,0
23,27201,6000,527,0
22,76808,20000,611,1
24,97157,20000,545,0
25,96773,20000,644,0
23,26954,2000,511,0
22,96673,20000,616,0
22,26872,8500,656,0
26,76420,20000,656,1
26,27097,1000,581,0
25,89914,20000,477,1
25,96778,20000,664,0
23,97783,20000,563,0
22,98255,20000,623,0
24,26747,2000,704,1
22,99459,20000,691,0
23,92036,20000,648,1
22,93070,20000,662,1
24,101201,20000,569,0
26,26764,3000,642,0
23,102232,20000,663,0
25,101849,20000,627,0
23,26678,4400,610,0
21,27041,10000,534,0
24,95807,20000,678,1
23,103275,20000,597,0
25,103166,20000,653,0
26,88672,20000,571,1
21,27289,1500,659,0
23,27174,9000,619,0
25,102975,20000,663,0
24,27558,4000,621,0
22,105649,20000,575,0
23,27887,6000,477,0
22,109017,20000,639,0
23,94566,20000,611,1
24,109178,20000,630,0
23,108836,20000,560,0
26,109089,20000,537,0
22,27472,7000,694,0
23,109061,20000,657,0
25,110319,20000,572,0
26,27309,3825,618,0
22,111365,20000,649,0
22,27358,6500,496,0
25,27570,5875,680,1
25,111834,20000,606,0
22,27122,2400,612,0
24,27730,8000,477,0
26,113057,20000,606,0
23,27666,1550,658,1
22,114267,20000,602,0
23,100420,20000,571,1
23,115130,20000,701,0
24,114976,20000,665,0
21,27648,7350,635,0
23,116295,20000,643,0
22,27385,7200,636,0
22,103798,20000,645,1
22,118565,20000,575,0
24,27463,3000,647,0
23,120368,20000,569,0
21,27493,4000,528,0
22,27178,8500,626,0
24,120691,20000,664,0
25,106741,20000,650,1
26,27124,7500,600,0
25,121016,20000,672,0
25,120866,20000,563,0
25,27635,7500,665,0
23,27475,6700,605,0
22,90648,20000,653,1
23,90887,20000,685,1
22,121236,20000,580,0
25,27780,6400,672,0
26,27364,5400,646,0
26,125803,20000,636,0
23,112700,20000,559,1
23,114961,20000,654,1
25,130715,20000,632,0
25,117215,20000,672,1
23,132975,20000,630,0
22,132669,20000,476,0
22,132809,20000,691,0
24,133069,20000,672,0
23,133031,20000,709,0
22,28529,2000,521,0
22,28518,7125,564,1
23,28149,3000,626,1
25,103168,20000,662,1
23,28372,4800,667,0
22,28527,8300,690,1
23,145007,20000,628,0
24,27861,4750,562,0
24,146157,20000,670,0
23,150985,20000,602,0
22,28613,3000,595,0
25,157396,20000,687,0
26,156668,20000,668,0
23,28773,6000,657,0
24,160903,20000,527,0
22,28257,10625,524,0
21,28410,7000,606,0
25,168862,20000,546,0
24,166817,20000,681,1
23,28492,3600,502,1
26,178602,20000,604,1
22,193248,20000,599,0
22,27969,4800,644,0
26,193076,20000,660,0
26,202337,20000,652,0
26,208059,20000,615,0
21,28786,3000,638,0
25,210999,20000,680,0
25,28595,4400,611,0
25,70930,19900,578,1
26,140072,19800,617,0
26,24756,500,659,0
25,28644,10000,570,1
21,23899,700,658,0
22,28752,7000,484,0
25,23980,750,645,0
23,13059,1000,541,1
22,13021,1000,610,1
21,13197,1000,722,1
22,29111,2400,668,0
21,28319,2400,628,0
23,13817,1000,667,1
22,14763,1000,540,0
22,15248,1000,547,0
23,15553,1000,602,0
25,15255,1000,611,0
21,14997,1000,669,0
22,15102,1000,559,1
22,16077,1000,642,1
24,17683,1000,562,1
21,18221,1000,559,1
23,28684,2000,591,0
21,28348,5000,506,0
22,18290,1000,623,1
21,28367,15000,600,0
22,18923,1000,599,1
21,20259,1000,604,1
24,21414,1000,619,0
22,20953,1000,665,0
24,24085,1000,655,0
23,48233,19000,606,1
22,48844,19000,562,1
25,57272,19000,648,1
25,61342,19000,645,1
25,63600,19000,610,1
24,29212,7000,607,0
26,57891,19000,649,1
25,65799,19000,640,1
22,66071,19000,664,1
23,66303,19000,611,1
26,75656,19000,621,1
22,84974,19000,589,0
23,87479,19000,671,0
24,88452,19000,653,0
23,94830,19000,642,0
25,29498,6000,664,1
22,29756,2500,592,0
26,116006,19000,663,0
24,126727,19000,582,0
24,210705,19000,655,0
26,61142,18950,632,1
26,67267,18800,505,1
22,84840,18750,661,0
22,44761,18725,667,1
22,52878,18550,694,1
24,29659,7100,641,0
24,42042,18500,640,1
21,44065,18500,690,1
22,46436,18500,673,1
25,67957,18500,619,1
23,90359,18500,697,0
25,90794,18500,608,0
24,88481,18500,605,1
22,29833,8000,592,0
21,29833,3000,642,0
24,94624,18500,692,1
26,174957,18500,584,0
22,29781,5000,598,0
22,59476,18400,653,1
22,61014,18400,649,1
23,145076,18400,674,0
22,29823,5000,655,1
25,29628,6000,636,0
22,42149,18250,571,1
24,42910,18250,631,1
25,42253,18250,587,1
23,52308,18250,657,1
22,29875,1300,687,0
22,45672,18250,561,1
24,56134,18250,684,1
25,29750,5800,639,0
23,56040,18250,590,1
25,56207,18250,610,1
25,67109,18250,594,1
25,59820,18250,609,1
22,60829,18250,633,1
23,60902,18225,685,1
26,53842,18225,663,1
24,43839,18200,562,1
25,44695,18200,647,1
22,44500,18200,601,1
24,66842,18200,639,1
23,33227,18000,679,1
23,29733,8000,639,0
23,41153,18000,662,1
21,44105,18000,654,1
21,38061,18000,693,1
23,48706,18000,662,1
25,48986,18000,675,1
22,29645,5000,624,0
25,51103,18000,642,1
24,30073,8000,689,0
24,29678,2400,603,0
24,52304,18000,487,1
24,52468,18000,608,1
22,53665,18000,664,1
24,53603,18000,660,1
25,47902,18000,654,1
22,57121,18000,672,1
22,58364,18000,591,1
24,51764,18000,618,1
24,29776,4200,614,0
24,53028,18000,709,1
24,61117,18000,674,1
24,61070,18000,628,1
23,29966,5000,673,1
23,29640,4200,595,0
26,60841,18000,651,1
22,60669,18000,618,1
22,29540,2500,620,0
22,63084,18000,641,1
22,29906,6000,638,0
25,63657,18000,572,1
22,63459,18000,683,1
25,63913,18000,647,1
22,57005,18000,554,1
24,58556,18000,634,1
23,30483,8000,574,0
25,67108,18000,594,1
25,67409,18000,646,1
23,30059,1375,506,1
24,68258,18000,671,1
21,60821,18000,530,1
25,70432,18000,609,1
21,63842,18000,678,1
26,64459,18000,661,1
22,73175,18000,667,0
22,72947,18000,631,0
25,74953,18000,515,0
26,29960,5000,664,1
22,75259,18000,634,0
23,29749,5600,655,0
24,29914,10000,513,0
22,76368,18000,562,0
23,76732,18000,618,0
23,76941,18000,659,0
25,79049,18000,536,0
25,79231,18000,562,0
24,71798,18000,603,1
25,79211,18000,610,0
26,71618,18000,675,1
26,73027,18000,662,1
25,80198,18000,578,0
21,82727,18000,625,0
24,85246,18000,591,0
25,66195,18000,668,1
25,85830,18000,625,0
25,78750,18000,718,1
26,87291,18000,692,0
24,80615,18000,584,1
24,87404,18000,600,0
24,29643,3000,597,0
23,89331,18000,682,0
25,30184,1200,689,0
23,90938,18000,616,0
25,29110,3500,532,1
23,91967,18000,578,0
21,29879,7000,617,0
26,94747,18000,672,0
21,97282,18000,695,0
23,97195,18000,655,0
22,97065,18000,667,0
26,97068,18000,661,0
23,98110,18000,568,0
23,29589,2800,613,1
23,99196,18000,658,0
23,93092,18000,540,1
24,29935,8500,606,0
26,29897,2100,674,0
22,100074,18000,652,0
26,29511,6000,578,0
25,101710,18000,692,0
22,29732,2500,661,0
25,102979,18000,652,0
26,104467,18000,691,0
23,105627,18000,709,0
23,106616,18000,687,0
23,109401,18000,684,0
24,114882,18000,520,0
26,115195,18000,541,0
24,123296,18000,555,0
24,132997,18000,609,0
23,106067,18000,677,1
26,140325,18000,675,0
24,146325,18000,624,0
22,151146,18000,642,0
25,29847,5000,618,0
22,174540,18000,599,0
24,186778,18000,671,0
22,29678,5000,589,0
21,91133,17950,632,0
26,156904,17950,689,0
25,29768,7000,588,0
23,75751,17800,706,1
23,29703,1500,614,0
22,58463,17750,631,1
22,79018,17700,580,0
26,29774,8000,626,0
24,29945,8000,608,0
22,29719,3975,581,0
23,54940,17625,632,1
25,71926,17600,674,0
22,79198,17600,658,0
24,85015,17600,671,0
24,86667,17600,687,0
21,29771,5000,637,0
23,30322,3500,638,0
24,87591,17600,575,1
25,39779,17500,594,1
23,44173,17500,590,1
21,45829,17500,576,1
21,30100,4500,634,0
21,30359,4000,616,0
24,49727,17500,546,1
22,30654,1800,634,0
24,30508,5000,638,0
25,53946,17500,601,1
23,57933,17500,603,1
22,59775,17500,572,1
23,59911,17500,530,1
23,64829,17500,606,1
24,67010,17500,652,1
24,70497,17500,661,0
23,71775,17500,613,0
26,73071,17500,663,0
26,90937,17500,659,0
22,30807,5500,648,1
25,115940,17500,622,0
21,31015,2000,685,0
23,49136,17475,618,1
21,55627,17475,628,1
23,30846,5000,670,0
22,70863,17475,677,0
24,99296,17400,637,0
24,115945,17400,619,0
24,160759,17400,525,0
24,115184,17200,702,0
23,42839,17000,658,1
26,36434,17000,724,1
21,30833,7000,656,0
22,49087,17000,669,1
22,50833,17000,632,1
22,51715,17000,666,1
24,52999,17000,642,1
24,55854,17000,578,1
23,57593,17000,592,1
25,61097,17000,623,1
24,60984,17000,653,1
23,31332,4575,634,0
23,31349,8000,689,0
23,62182,17000,625,1
24,54942,17000,700,1
25,63261,17000,610,1
21,31155,6500,610,0
23,63351,17000,686,1
24,64211,17000,649,1
23,66950,17000,619,1
26,31024,7400,567,0
24,68170,17000,614,0
23,64556,17000,577,1
22,31115,2400,636,0
23,72793,17000,625,0
25,73028,17000,710,0
23,31178,4000,649,0
25,75508,17000,685,0
26,79101,17000,578,0
23,84499,17000,645,0
25,87492,17000,558,0
24,90980,17000,669,0
24,91266,17000,647,0
23,94695,17000,651,0
21,30831,3600,718,0
23,103010,17000,688,0
22,107908,17000,683,0
26,80871,17000,541,1
23,109240,17000,572,0
26,115122,17000,641,0
22,116194,17000,514,0
25,137594,17000,669,0
26,210866,17000,501,0
21,59902,16950,625,1
24,87431,16875,674,0
26,30654,7000,609,0
